sample_id	exclude
MESC_CL5d7_E10_PD	FALSE
MESC_CL5d7_F8_PD	FALSE
MESC_CL5d4_B9_PC	FALSE
MESC_CL5d4_H11_PC	FALSE
MESC_CL5d2_B11_PB	FALSE
MESC_CL5d1_D8_PA	FALSE
MESC_CL5d7_G9_PD	FALSE
MESC_CL5d1_G4_PA	FALSE
MESC_CL5d1_H1_PA	FALSE
MESC_CL5d1_A1_PA	FALSE
MESC_CL5d2_G8_PB	FALSE
MESC_CL5d2_D2_PB	FALSE
MESC_CL5d1_D4_PA	FALSE
MESC_CL5d4_C1_PC	FALSE
MESC_CL5d1_C7_PA	FALSE
MESC_CL5d7_A12_PD	FALSE
MESC_CL5d7_C11_PD	FALSE
MESC_CL5d2_H9_PB	FALSE
MESC_CL5d1_E10_PA	FALSE
MESC_CL5d7_C8_PD	FALSE
MESC_CL5d7_F3_PD	FALSE
MESC_CL5d7_G2_PD	FALSE
MESC_CL5d2_H5_PB	FALSE
MESC_CL5d4_G9_PC	FALSE
MESC_CL5d1_E9_PA	FALSE
MESC_CL5d1_A8_PA	FALSE
MESC_CL5d1_G8_PA	FALSE
MESC_CL5d4_A2_PC	FALSE
MESC_CL5d7_F7_PD	FALSE
MESC_CL5d2_G2_PB	FALSE
MESC_CL5d4_C5_PC	FALSE
MESC_CL5d4_A12_PC	FALSE
MESC_CL5d4_D8_PC	FALSE
MESC_CL5d7_G10_PD	FALSE
MESC_CL5d1_C3_PA	FALSE
MESC_CL5d7_E8_PD	FALSE
MESC_CL5d4_C11_PC	FALSE
MESC_CL5d4_H1_PC	FALSE
MESC_CL5d1_H9_PA	FALSE
MESC_CL5d4_E2_PC	FALSE
MESC_CL5d2_F5_PB	FALSE
MESC_CL5d7_D3_PD	FALSE
MESC_CL5d7_C4_PD	TRUE
MESC_CL5d7_G7_PD	FALSE
MESC_CL5d1_E5_PA	FALSE
MESC_CL5d1_F10_PA	TRUE
MESC_CL5d7_H11_PD	FALSE
MESC_CL5d1_E8_PA	FALSE
MESC_CL5d7_D4_PD	FALSE
MESC_CL5d1_A3_PA	FALSE
MESC_CL5d1_G5_PA	FALSE
MESC_CL5d1_H4_PA	TRUE
MESC_CL5d2_A1_PB	FALSE
MESC_CL5d4_D6_PC	FALSE
MESC_CL5d7_C9_PD	FALSE
MESC_CL5d7_E9_PD	FALSE
MESC_CL5d1_C8_PA	FALSE
MESC_CL5d7_H1_PD	FALSE
MESC_CL5d4_A4_PC	FALSE
MESC_CL5d1_F9_PA	FALSE
MESC_CL5d4_E8_PC	FALSE
MESC_CL5d7_C5_PD	FALSE
MESC_CL5d7_G1_PD	FALSE
MESC_CL5d2_C10_PB	FALSE
MESC_CL5d2_E10_PB	FALSE
MESC_CL5d1_H3_PA	FALSE
MESC_CL5d2_H12_PB	FALSE
MESC_CL5d2_E9_PB	FALSE
MESC_CL5d2_G10_PB	FALSE
MESC_CL5d4_D7_PC	FALSE
MESC_CL5d1_E6_PA	FALSE
MESC_CL5d2_B4_PB	FALSE
MESC_CL5d4_H9_PC	FALSE
MESC_CL5d7_A2_PD	FALSE
MESC_CL5d4_B5_PC	FALSE
MESC_CL5d7_H7_PD	FALSE
MESC_CL5d7_E11_PD	FALSE
MESC_CL5d7_F2_PD	FALSE
MESC_CL5d4_E3_PC	FALSE
MESC_CL5d2_B1_PB	FALSE
MESC_CL5d7_H10_PD	FALSE
MESC_CL5d1_C9_PA	FALSE
MESC_CL5d4_G10_PC	FALSE
MESC_CL5d1_D2_PA	FALSE
MESC_CL5d1_B1_PA	FALSE
MESC_CL5d4_G1_PC	FALSE
MESC_CL5d1_A11_PA	TRUE
MESC_CL5d4_H2_PC	FALSE
MESC_CL5d2_D11_PB	TRUE
MESC_CL5d1_E4_PA	FALSE
MESC_CL5d1_D6_PA	FALSE
MESC_CL5d7_G12_PD	FALSE
MESC_CL5d4_B12_PC	FALSE
MESC_CL5d7_B9_PD	FALSE
MESC_CL5d7_D5_PD	FALSE
MESC_CL5d1_B10_PA	FALSE
MESC_CL5d1_F12_PA	FALSE
MESC_CL5d1_G10_PA	FALSE
MESC_CL5d2_C4_PB	FALSE
MESC_CL5d4_D10_PC	FALSE
MESC_CL5d2_C9_PB	FALSE
